57	3	14.4 	399.00	5	42.5 	33.1 	22.3 	2.1 	11.6 	0.640	3.62 
58	3	18.5 	120.60	-27	48.7 	30.4 	20.2 	0.7 	11.5 	0.480	1.72 
59	4	43.4 	2.06	6	77.2 	16.5 	5.8 	0.5 	12.2 	0.151	0.09 
60	2	22.2 	53.60	-36	48.0 	27.0 	20.8 	4.2 	11.9 	0.239	1.34 
61	4	36.4 	4.49	18	74.2 	13.5 	11.8 	0.5 	12.2 	0.238	0.18 
62	4	28.7 	21.49	18	65.7 	14.3 	19.0 	1.0 	12.2 	0.227	0.50 
63	1	27.0 	12.53	-21	54.2 	27.7 	16.6 	1.5 	11.7 	0.643	0.41 
64	1	28.3 	9.95	-18	55.4 	27.0 	16.0 	1.6 	11.8 	0.612	0.09 
65	3	18.0 	119.60	-24	43.6 	33.5 	21.0 	1.9 	11.6 	0.688	2.69 
66	1	21.8 	25.12	-36	46.6 	31.4 	20.7 	1.5 	11.6 	0.860	1.05 
67	4	37.3 	2.52	5	63.5 	28.4 	7.6 	0.5 	12.4 	0.140	0.07 
68	4	24.8 	39.35	15	57.8 	21.6 	18.9 	1.7 	12.0 	0.420	0.41 
69	4	27.9 	9.18	-3	56.3 	25.2 	16.9 	1.6 	11.8 	0.394	0.21 
70	4	28.5 	13.5	9	53.8 	22.0 	23.7 	0.5 	12.0 	0.378	0.25 
